RMSE,Penalty
0.000140545,21
0.0245552,17
0.168458,14
0.181001,17
0.254655,14
0.213113,12
0.0422614,17
0.000385856,11
0.0421841,13
0.208546,9
0.170741,13
0.118207,6
0.489723,9
0.104403,9
0.0970363,9
0.0746276,11
0.083325,12
0.0986373,8
0.104791,5
0.0634528,10
0.0612523,7
0.112518,7
0.538706,7
0.0287001,11
0.0860557,5
0.12491,4
0.0894875,8
0.0842772,6
0.117123,6
0.107718,6
0.0956385,7
0.107745,8
0.0608327,7
0.0715059,4
0.0559755,7
0.070251,4
0.129928,7
0.0930302,8
0.0581076,8
0.0745869,10
0.0380021,8
0.0295963,9
0.116534,8
0.0975355,8
0.0867003,6
0.103251,5
0.940595,2
0.0413262,9
0.120563,4
0.120636,3
0.450183,7
0.0710769,10
0.112365,6
0.098251,6
0.00111405,5
0.153076,5
0.487775,8
0.739965,5
0.0579975,7
0.0946204,8
0.0901093,9
0.0725369,9
0.0848775,8
0.117094,6
0.0694795,5
0.0688192,5
0.0635323,6
0.155642,3
0.0797589,8
0.0831927,7
0.0960536,8
0.0652423,7
0.0947508,8
0.0961297,5
0.0584841,11
0.0910688,5
0.0455955,8
0.0448049,9
0.0888406,8
0.0435115,7
0.0485593,11
0.0387886,8
0.0646629,3
0.0780503,11
0.0702175,5
0.0846355,8
0.0995882,5
0.109244,9
0.114207,7
0.0707767,5
0.0664503,8
0.0910143,7
0.0706503,4
0.497583,3
0.0990276,8
0.0351238,5
0.000980835,10
0.110339,7
0.0725883,10
0.101206,6
0.000191068,21
0.025707,17
0.184246,14
0.0288122,13
0.0991095,16
0.091011,9
0.0404608,15
0.299372,8
0.104396,10
0.10635,11
0.0748374,14
0.0853028,8
0.583096,7
0.0811082,9
0.0999406,7
0.102048,9
0.0774531,7
0.673751,5
0.089718,7
0.0601033,12
0.0949833,8
0.0809035,10
0.403156,9
0.0947172,8
0.0795814,11
0.0860648,7
0.0815557,10
0.0410942,7
0.0771374,8
0.0297287,9
0.0937206,8
0.0747228,9
0.088763,8
0.103738,7
0.100172,5
0.0846986,6
0.0852579,6
0.0766278,8
0.0498849,8
0.0879928,7
0.0600382,5
0.0906619,7
0.115137,6
0.0651102,5
0.152394,2
0.141557,6
0.756955,2
0.0567379,10
0.0995879,5
0.104387,9
0.33851,6
0.0937032,6
0.0634567,5
0.0622925,7
0.00106603,6
0.0523308,7
0.124874,6
0.380857,5
0.0817671,6
0.0842657,4
0.0988121,7
0.0306315,9
0.114594,6
0.0392886,7
0.0702114,5
0.0594142,6
0.0439476,6
0.0722256,4
0.129665,5
0.077647,8
0.113445,5
0.116164,6
0.0863934,9
0.0656165,7
0.0381075,8
0.0857303,6
0.0905672,5
0.0802931,8
0.0378171,9
0.465968,10
0.0983854,10
0.0959678,5
0.0340783,9
0.0885169,9
0.141129,4
0.0660997,5
0.125778,2
0.0866191,7
0.0673117,7
0.0924727,10
0.0999509,7
0.0393344,8
0.0335743,8
0.385029,6
0.0683158,4
0.0510194,6
0.000864799,8
0.50843,7
0.0978259,11
0.0950278,8
0.000191068,21
0.476587,10
0.0430999,13
0.0681297,10
0.0938229,9
0.000645077,9
0.116587,5
0.000886834,6
0.0624431,7
0.0954458,9
0.129024,3
0.144898,5
0.123247,3
0.149958,3
0.145571,3
0.00121763,5
0.156745,2
0.158466,1
0.122594,3
0.101413,6
0.146108,3
0.136435,2
0.0923336,4
0.0832316,5
0.104244,6
0.0852966,3
0.138345,4
0.146108,4
0.0877834,7
0.0984,4
0.121754,3
0.115865,4
0.142499,4
0.112976,5
0.0975073,6
0.130034,4
0.0997708,5
0.106543,3
0.108042,4
0.0876165,6
0.00104727,4
0.115464,6
0.125431,3
0.101528,9
0.0991028,6
0.099243,6
0.063761,4
0.138285,5
0.153,2
0.138807,6
0.095253,3
0.146532,2
0.139451,5
0.129227,7
0.144503,4
0.0582019,4
0.157207,3
0.109406,3
0.101471,4
0.114422,4
0.152275,3
0.137418,6
0.0712894,3
0.148525,3
0.148682,4
0.0360772,6
0.0645479,5
0.108104,5
0.000483434,8
0.0712894,3
0.122189,4
0.00132831,3
0.544998,4
0.00114071,4
0.0726526,4
0.149027,4
0.0569168,5
0.158466,1
0.101543,7
0.154417,2
0.143638,5
0.158425,2
0.0944822,6
0.983712,2
0.000689093,4
0.105892,3
0.114391,2
0.115008,5
0.158286,2
0.127057,3
0.104629,4
0.154417,2
0.0756743,2
