RMSE,Penalty
0.000666534,21
0.160405,17
0.402153,13
0.130885,13
0.0327267,14
0.367378,12
0.0288313,16
0.0591086,11
0.0483547,11
0.00368802,15
0.0390263,10
0.0196129,13
0.00365638,9
0.0554806,9
0.0649508,9
0.0416454,10
0.0377284,8
0.0863568,7
0.0807869,7
0.074191,6
0.121609,4
0.0447946,7
0.00547956,8
0.0595537,7
0.0565992,8
0.112598,3
0.0567683,9
0.0878668,6
0.0518301,8
0.0500799,9
0.0662353,7
0.0856534,7
0.0596631,9
0.051969,8
0.0450163,7
0.0494495,8
0.0435863,6
0.0908929,6
0.613082,8
0.0672103,5
0.00845512,7
0.0583847,8
0.0416488,8
0.080911,5
0.100851,5
0.0431168,7
0.00913877,3
0.0534729,7
0.0546913,4
0.0596036,4
0.00610198,9
0.198847,10
0.0602721,6
0.0744327,3
0.63553,5
0.0910512,7
0.0536161,9
0.00572552,5
0.0503597,9
0.0609598,8
0.0496927,10
0.0420522,10
0.0432613,7
0.0450389,7
0.0576136,7
0.0696689,6
0.0687001,6
0.0950158,6
0.0682282,5
0.0942684,6
0.0619828,5
0.124045,3
0.0652711,8
0.0476293,8
0.0673123,7
0.0739115,7
0.0616271,6
0.0417765,8
0.00461327,13
0.0677183,7
0.072506,5
0.0246819,12
0.0710108,7
0.0518169,8
0.0554806,8
0.0374248,9
0.0634574,7
0.0662119,7
0.10288,5
0.0468099,12
0.669484,8
0.0538021,8
0.0486731,8
0.0667488,5
0.0703436,6
0.0757101,7
0.0837028,5
0.0598704,6
0.0806058,7
0.0707983,7
0.000842068,21
0.161913,17
0.0185937,17
0.16865,13
0.222188,13
0.156533,14
0.177907,15
0.227188,11
0.0480784,13
0.20079,14
0.0761,8
0.0418401,12
0.00467294,9
0.0403394,9
0.0616671,10
0.0618612,11
0.00708224,8
0.0937803,5
0.0512027,9
0.036069,15
0.0627877,5
0.0957178,7
0.00558763,11
0.0530233,7
0.0719091,7
0.0701579,4
0.0527628,10
0.107953,4
0.0584486,6
0.109568,7
0.0528747,7
0.048393,7
0.0735733,6
0.0575537,6
0.039327,9
0.0745234,5
0.0605447,6
0.0655504,8
0.0681174,7
0.0514909,5
0.0547505,6
0.0586253,6
0.0994641,6
0.106922,4
0.0703468,5
0.0743454,9
0.00826542,4
0.0548508,7
0.125866,2
0.0432476,6
0.0051067,9
0.0667218,10
0.075522,4
0.0709783,6
0.586283,6
0.113537,6
0.069032,8
0.00485567,6
0.0236517,7
0.0243365,8
0.0999733,5
0.0574135,7
0.0729956,7
0.044774,5
0.00521341,7
0.00384168,7
0.0646288,6
0.0976179,4
0.0634805,5
0.0650355,6
0.0452245,10
0.0503044,9
0.0552787,9
0.0643363,5
0.0942377,8
0.0493467,9
0.0551684,9
0.00151352,9
0.0619064,7
0.0554607,11
0.0485302,10
0.054321,8
0.0458682,8
0.0521299,10
0.0718176,4
0.0894327,5
0.0990248,5
0.0876458,6
0.0220698,6
0.0720482,9
0.0243489,8
0.0584587,8
0.0710034,4
0.0090758,8
0.0424028,7
0.0506813,5
0.728962,4
0.0478628,7
0.0445142,11
0.587718,7
0.000842068,21
0.340307,10
0.401492,12
0.0674232,8
0.0502067,9
0.519948,9
0.0834304,9
0.589269,7
0.107233,5
0.0370837,7
0.0852091,5
0.0547246,6
0.695189,3
0.111544,3
0.0440533,7
0.124239,4
0.887012,2
0.11165,3
0.128232,1
0.054739,2
0.0635104,6
0.0566716,5
0.0587174,5
0.0915287,6
0.117194,2
0.0588743,9
0.0673326,4
0.546032,5
0.101415,5
0.0575861,8
0.0771204,2
0.0524194,4
0.0639956,4
0.128038,2
0.0618523,5
0.054656,5
0.110388,3
0.116613,5
0.120202,4
0.101058,4
0.0989237,5
0.084111,5
0.00168718,9
0.128232,1
0.12787,2
0.123738,3
0.0523587,3
0.120043,3
0.0756739,4
0.0703979,4
0.0955753,3
0.064339,4
0.113863,3
0.0955927,4
0.116878,4
0.0810098,2
0.0733398,5
0.666605,3
0.00935875,4
0.0610298,6
0.0977194,4
0.125949,2
0.0516736,5
0.101079,5
0.128232,1
0.106006,7
0.100091,3
0.0514479,5
0.10084,4
0.0252925,4
0.117541,3
0.128157,2
0.0994886,4
0.116768,3
0.127473,2
0.00575207,5
0.117194,2
0.0753569,3
0.0992447,3
0.0771797,3
0.0630767,4
0.0753569,3
0.0767694,3
0.00909336,3
0.00195477,8
0.105899,5
0.114746,4
0.00951946,3
0.0873668,5
0.0931579,6
0.00644167,6
0.114019,5
0.055673,4
0.0238371,6
0.124794,2
0.124314,3
0.127964,2
0.0903373,3
0.0644708,4
